GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
KCNK10,2.9,2.5,3.1,2.4,2.8,2.4,3.2,1.9,2.5,2.6,3.0,2.8
KCNK12,3.3,1.7,3.7,4.5,3.9,3.4,2.1,3.7,1.8,2.4,2.0,2.8
KCNK13,0.1,0.6,0.0,-0.1,0.1,1.1,0.3,0.4,0.4,0.8,-0.1,-0.5
KCNK15,8.5,8.5,8.3,8.5,8.3,8.2,8.6,8.3,8.5,8.3,8.0,8.3
KCNK15-AS1,7.0,6.9,6.8,7.0,7.4,7.3,7.5,7.6,7.5,7.3,7.3,7.3
KCNK16,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNK17,2.0,0.6,2.4,1.8,2.4,0.0,0.3,1.3,1.4,0.8,-0.1,1.1
KCNK18,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNK2,12.2,12.2,12.1,12.3,12.3,12.5,12.3,12.2,12.1,12.3,12.3,12.3
KCNK3,3.9,3.8,4.2,4.4,4.4,4.6,4.6,3.2,4.4,3.9,4.6,4.2
KCNK4,1.9,1.0,0.7,-0.1,0.1,0.0,1.0,1.2,1.2,0.6,-0.1,0.2
KCNK4-TEX40,1.5,1.4,0.9,2.0,2.2,2.2,1.9,1.4,2.7,2.5,0.7,1.3
KCNK5,7.3,6.9,7.2,6.3,6.3,6.3,6.3,6.1,6.6,5.6,5.4,5.9
KCNK6,11.0,11.1,11.0,10.5,10.1,10.3,10.8,10.9,10.8,10.5,10.6,10.6
KCNK7,3.7,3.3,2.9,1.9,2.8,4.2,3.0,2.9,0.4,2.4,1.5,2.2
